list;counting;1;12000;0.4680;0.4680;61996
list;counting;1;15000;0.7810;0.7810;64996
list;counting;1;18000;1.1720;1.1720;67996
list;counting;1;21000;1.6250;1.6250;70996
list;counting;1;24000;2.1560;2.1560;73996
list;counting;1;27000;2.7500;2.7500;76998
list;counting;1;3000;0.0150;0.0150;52985
list;counting;1;30000;3.3900;3.3900;79999
list;counting;1;6000;0.0620;0.0620;55985
list;counting;1;9000;0.2190;0.2190;58991
list;merge;1;12000;0.0310;0.0310;147663
list;merge;1;15000;0.0470;0.0470;189334
list;merge;1;18000;0.0470;0.0470;231938
list;merge;1;21000;0.0620;0.0620;275704
list;merge;1;24000;0.0940;0.0940;319413
list;merge;1;27000;0.0940;0.0940;363757
list;merge;1;3000;0.0150;0.0150;30957
list;merge;1;30000;0.1090;0.1090;408742
list;merge;1;6000;0.0160;0.0160;67851
list;merge;1;9000;0.0310;0.0310;106930
list;heap;1;12000;2.4690;2.4690;289016
list;heap;1;15000;4.0000;4.0000;370188
list;heap;1;18000;6.0160;6.0160;453744
list;heap;1;21000;8.4840;8.4840;539562
list;heap;1;24000;11.2180;11.2180;626130
list;heap;1;27000;14.7350;14.7350;713028
list;heap;1;3000;0.1250;0.1250;60238
list;heap;1;30000;18.3280;18.3280;800710
list;heap;1;6000;0.5160;0.5160;132564
list;heap;1;9000;1.3280;1.3280;209140
